player_sum,dealer_card,usable_ace,q_value
18,6,0,[ 0.26279452 -0.1739412   0.00100098 -0.00398603 -0.00798203]
5,2,0,[-0.02255572  0.0482269   0.          0.          0.        ]
14,9,0,[-0.42280692 -0.33525111 -0.17147468 -0.17088772 -0.17146146]
19,4,1,[0.37512457 0.01536086 0.         0.         0.        ]
13,10,1,[-0.08006822  0.08320585  0.          0.          0.        ]
17,3,1,[-0.01827768  0.10200658  0.          0.          0.        ]
27,2,0,[0. 0. 0. 0. 0.]
21,5,0,[ 0.85249949 -0.0978883   0.          0.          0.        ]
30,5,0,[0. 0. 0. 0. 0.]
28,5,0,[0. 0. 0. 0. 0.]
9,1,0,[-0.10840042 -0.02330111  0.          0.          0.        ]
9,6,0,[-0.01641609  0.24565199  0.          0.          0.        ]
21,5,1,[0.88098188 0.07077962 0.         0.         0.        ]
18,7,1,[0.33452474 0.01951696 0.         0.         0.        ]
13,7,1,[-0.03118373  0.1723766   0.          0.          0.        ]
9,8,0,[-0.08645284  0.25423145  0.          0.          0.        ]
5,3,0,[-0.00972451  0.04128041  0.          0.          0.        ]
8,2,0,[-0.0292733   0.07894308 -0.01194715 -0.00695468 -0.00197206]
16,10,1,[-0.12318748 -0.05710413  0.          0.          0.        ]
8,6,0,[-0.0226134   0.15079011 -0.00399197 -0.00646114 -0.00600394]
12,10,1,[-0.0205269   0.04843732 -0.00188611 -0.01720575 -0.00594241]
9,3,0,[-0.0196133   0.17203508  0.          0.          0.        ]
25,6,0,[0. 0. 0. 0. 0.]
24,5,0,[0. 0. 0. 0. 0.]
11,9,0,[-0.13739105  0.28649537  0.          0.          0.        ]
30,3,0,[0. 0. 0. 0. 0.]
20,7,1,[0.70044456 0.03379524 0.         0.         0.        ]
24,7,0,[0. 0. 0. 0. 0.]
14,2,1,[-0.02237794  0.09469808  0.          0.          0.        ]
16,8,1,[-0.03604336  0.12372572  0.          0.          0.        ]
29,8,0,[0. 0. 0. 0. 0.]
21,7,0,[ 0.8913503  -0.21257702  0.          0.          0.        ]
31,7,0,[0. 0. 0. 0. 0.]
11,7,0,[-0.1123032   0.40603058  0.          0.          0.        ]
17,1,1,[-0.05200637  0.02104944  0.          0.          0.        ]
6,9,0,[-0.04072403  0.00933384 -0.00497281 -0.00596711 -0.00798206]
21,9,0,[ 0.92056915 -0.20731538  0.          0.          0.        ]
31,9,0,[0. 0. 0. 0. 0.]
4,2,0,[-0.00597406  0.02677763 -0.00100392 -0.00497756 -0.00407903]
16,9,1,[-0.03677427  0.06111756  0.          0.          0.        ]
30,7,0,[0. 0. 0. 0. 0.]
7,7,0,[-0.04311062  0.09531592  0.          0.          0.        ]
4,6,0,[-0.00298508  0.03772439  0.00201387 -0.00448204 -0.00598402]
19,9,1,[0.27583229 0.01679003 0.         0.         0.        ]
12,9,1,[-0.00892434  0.00896677  0.22172004 -0.00547258 -0.01395807]
16,2,0,[-0.3088031  -0.36146567 -0.00408566 -0.05877914 -0.05847276]
30,6,0,[0. 0. 0. 0. 0.]
5,7,0,[-0.019707    0.08186845  0.          0.          0.        ]
